"  第一洞
  First Cave",642,支 Bolt,75,條攀登路線,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
分區,路線編號,路線名稱,難度,路線種類,高度,首攀,首攀日期,路線資訊描述,安全評級,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,A01,A02,A03,Anchor配件,,Bolt統計,路線狀態,日期,備註
洞外左側,# 238.1,Lucid Dreaming | P1,5.9,傳攀 | Trad,52 m,,,"路線相關資訊
 Route info",●●●,,,,,,,,,,,,,,,,,,,待確認,待確認,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 238.2,Lucid Dreaming | P2,5.8,傳攀 | Trad,52 m,,,"路線相關資訊
Route info",●●●,,,,,,,,,,,,,,,,,,,待確認,待確認,,,,2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 238.3,Lucid Dreaming | P3,5.10?,傳攀 | Trad,52 m,,,"路線相關資訊
Route info
–
與 <石花凍 | P2> 共用 Anchor",●●●,,,,,,,,,,,,,,,,,,,共用,共用,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"洞之上
Headwall",# 239,"台北一支花
Taipei Flower",5.12b,運攀 | Sport,,"周俊明
Jun-Min Jou",2009 / 06 / 10,,●●●,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,,,,,,,,,,Ti-U,Ti-U,,,,11,已更新,,所有 Bolt 安裝日期均待查 (預設為1月1日)
,,,,,,,,,,2016,2016,2016,2016,,,,,,,,,,,,,,,2016,2016,,,,,,,
,,,,,,,,,,9 年,9 年,9 年,9 年,,,,,,,,,,,,,,,9 年,9 年,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 240,"頂樓加蓋
Building on the Building",5.12a,運攀 | Sport,,"周俊明
Jun-Min Jou",2009 / 06 / 10,"路線仍使用拉膨式錨栓 (304)
–
B01、B02 與 <台北一支花> 共用",●●●,共用,共用,共用,共用,Ti-U,Ti-U,Ti-U,Ti-U,Ti-U,,,,,,,,,,共用,共用,,,,5,待更新,,QX有記錄
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,# 241,"無人完攀
Project",5.??,運攀 | Sport,,,,"路線仍使用拉膨式錨栓 (304)
–
B01、B02 與 <台北一支花> 共用",●●●,共用,共用,Ti-U,Ti-U,304-P38,Ti-U,Ti-U,Ti-U,共用,共用,,,,,,,,,共用,共用,,,,6,待更新,,QX有記錄
,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,9 年,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
